CODEALERTA,VPRESSAO_original
72,ilegal_mining
104,agriculture
117,agriculture
182,agriculture
211,agriculture
246,agriculture
272,agriculture
291,agriculture
373,agriculture
393,agriculture
441,ilegal_mining
443,agriculture
444,ilegal_mining
453,agriculture
475,agriculture
476,agriculture
482,agriculture
493,agriculture
494,ilegal_mining
499,ilegal_mining
513,ilegal_mining
514,ilegal_mining
516,ilegal_mining
620,agriculture
629,agriculture
671,agriculture
676,agriculture
691,agriculture
700,agriculture
701,agriculture
712,agriculture
726,agriculture
748,agriculture
774,agriculture
777,ilegal_mining
786,agriculture
800,agriculture
815,agriculture
819,ilegal_mining
862,ilegal_mining
876,agriculture
908,ilegal_mining
909,ilegal_mining
910,ilegal_mining
914,ilegal_mining
915,ilegal_mining
916,ilegal_mining
917,ilegal_mining
920,ilegal_mining
924,ilegal_mining
939,ilegal_mining
940,ilegal_mining
943,ilegal_mining
963,ilegal_mining
964,ilegal_mining
966,ilegal_mining
968,ilegal_mining
970,ilegal_mining
1147,ilegal_mining
1248,ilegal_mining
1320,agriculture
1334,agriculture
1341,agriculture
1358,agriculture
1380,agriculture
1383,agriculture
1397,agriculture
1417,ilegal_mining
1447,agriculture
1509,agriculture
1532,ilegal_mining
1536,agriculture
1547,agriculture
1552,agriculture
1564,agriculture
1576,agriculture
1606,agriculture
1607,agriculture
1616,agriculture
1617,ilegal_mining
1634,agriculture
1643,ilegal_mining
1654,ilegal_mining
1676,agriculture
1688,agriculture
1767,ilegal_mining
1801,agriculture
1802,ilegal_mining
1862,agriculture
1873,ilegal_mining
1888,ilegal_mining
1972,ilegal_mining
2034,ilegal_mining
2035,ilegal_mining
2059,agriculture
2087,agriculture
2152,agriculture
2153,ilegal_mining
2282,ilegal_mining
2294,ilegal_mining
2304,ilegal_mining
2395,ilegal_mining
2408,agriculture
2448,ilegal_mining
2466,agriculture
2480,ilegal_mining
2487,ilegal_mining
2562,agriculture
2577,ilegal_mining
2580,ilegal_mining
2581,ilegal_mining
2587,ilegal_mining
2598,agriculture
2606,agriculture
2609,agriculture
2616,ilegal_mining
2617,ilegal_mining
2629,ilegal_mining
2631,ilegal_mining
2641,ilegal_mining
2642,ilegal_mining
2643,ilegal_mining
2644,ilegal_mining
2646,ilegal_mining
2655,agriculture
2657,agriculture
2662,ilegal_mining
2663,ilegal_mining
2668,agriculture
2670,ilegal_mining
2672,ilegal_mining
2673,ilegal_mining
2674,ilegal_mining
2677,ilegal_mining
2680,ilegal_mining
2689,agriculture
2695,ilegal_mining
2696,ilegal_mining
2697,ilegal_mining
2699,ilegal_mining
2701,ilegal_mining
2702,ilegal_mining
2705,ilegal_mining
2708,ilegal_mining
2709,ilegal_mining
2713,ilegal_mining
2715,ilegal_mining
2716,ilegal_mining
2938,agriculture
2941,agriculture
2950,ilegal_mining
2957,agriculture
2959,ilegal_mining
2989,ilegal_mining
2990,ilegal_mining
2998,ilegal_mining
2999,ilegal_mining
3007,agriculture
3019,ilegal_mining
3033,ilegal_mining
3047,ilegal_mining
3056,ilegal_mining
3063,ilegal_mining
3071,ilegal_mining
3072,ilegal_mining
3075,ilegal_mining
3076,ilegal_mining
3077,ilegal_mining
3078,ilegal_mining
3079,ilegal_mining
3080,ilegal_mining
3082,ilegal_mining
3083,ilegal_mining
3084,ilegal_mining
3085,ilegal_mining
3087,ilegal_mining
3090,ilegal_mining
3091,ilegal_mining
3095,ilegal_mining
3096,ilegal_mining
3097,ilegal_mining
3099,ilegal_mining
3102,ilegal_mining
3261,agriculture
3262,ilegal_mining
3334,agriculture
3340,agriculture
3379,agriculture
3423,agriculture
3428,ilegal_mining
3441,agriculture
3540,ilegal_mining
3550,agriculture
3616,agriculture
3654,agriculture
3655,agriculture
3656,agriculture
3672,agriculture
3688,agriculture
3734,agriculture
3742,agriculture
3745,agriculture
3755,ilegal_mining
3757,ilegal_mining
3765,agriculture
3775,ilegal_mining
3802,agriculture
3839,agriculture
3842,agriculture
3888,agriculture
3930,agriculture
3947,agriculture
3964,ilegal_mining
4030,ilegal_mining
4039,ilegal_mining
4107,agriculture
4110,agriculture
4120,agriculture
4150,agriculture
4156,ilegal_mining
4173,agriculture
4174,agriculture
4177,agriculture
4180,agriculture
4200,agriculture
4209,agriculture
4211,agriculture
4222,agriculture
4224,agriculture
4260,agriculture
4300,ilegal_mining
4303,ilegal_mining
4304,ilegal_mining
4305,ilegal_mining
4306,ilegal_mining
4330,agriculture
4353,agriculture
4359,agriculture
4375,agriculture
4383,ilegal_mining
4397,agriculture
4402,agriculture
4405,agriculture
4538,agriculture
4540,agriculture
4552,agriculture
4584,ilegal_mining
4595,agriculture
4602,agriculture
4698,agriculture
4703,ilegal_mining
4715,agriculture
4717,agriculture
4718,agriculture
4736,agriculture
4740,agriculture
4767,ilegal_mining
4779,agriculture
4807,agriculture
4829,agriculture
4848,agriculture
4851,agriculture
4855,agriculture
4925,ilegal_mining
4926,agriculture
4933,agriculture
4976,agriculture
4980,ilegal_mining
4982,ilegal_mining
4983,ilegal_mining
4994,agriculture
5011,agriculture
5027,ilegal_mining
5047,agriculture
5076,agriculture
5108,agriculture
5116,agriculture
5122,ilegal_mining
5127,agriculture
5135,ilegal_mining
5142,agriculture
5161,agriculture
5165,ilegal_mining
5173,agriculture
5181,agriculture
5219,agriculture
5220,ilegal_mining
5222,agriculture
5248,agriculture
5253,ilegal_mining
5303,agriculture
5326,agriculture
5335,agriculture
5348,agriculture
5422,agriculture
5474,ilegal_mining
5500,agriculture
5521,agriculture
5535,ilegal_mining
5538,ilegal_mining
5545,agriculture
5551,agriculture
5554,agriculture
5559,agriculture
5561,agriculture
5564,agriculture
5566,agriculture
5574,agriculture
5575,agriculture
5576,ilegal_mining
5580,agriculture
5596,agriculture
5648,ilegal_mining
5650,agriculture
5655,ilegal_mining
5657,agriculture
5658,ilegal_mining
5659,agriculture
5673,agriculture
5675,ilegal_mining
5684,agriculture
5699,agriculture
5722,agriculture
5725,agriculture
5782,agriculture
5783,agriculture
5816,agriculture
5826,agriculture
5884,ilegal_mining
5946,ilegal_mining
5947,ilegal_mining
5960,agriculture
5963,agriculture
5964,agriculture
5987,ilegal_mining
5988,agriculture
6007,agriculture
6038,agriculture
6049,ilegal_mining
6064,agriculture
6103,agriculture
6110,ilegal_mining
6147,agriculture
6151,agriculture
6155,agriculture
6160,agriculture
6162,agriculture
6166,agriculture
6169,agriculture
6215,ilegal_mining
6218,agriculture
6232,agriculture
6238,agriculture
6242,agriculture
6249,agriculture
6253,agriculture
6263,agriculture
6300,agriculture
6310,agriculture
6312,agriculture
6317,agriculture
6323,agriculture
6330,agriculture
6361,ilegal_mining
6362,ilegal_mining
6385,agriculture
6407,agriculture
6414,agriculture
6415,agriculture
6416,agriculture
6424,ilegal_mining
6432,agriculture
6434,agriculture
6463,agriculture
6565,agriculture
6587,ilegal_mining
6590,agriculture
6592,ilegal_mining
6598,agriculture
6611,agriculture
6654,ilegal_mining
6672,ilegal_mining
6673,agriculture
6676,agriculture
6685,agriculture
6701,agriculture
6702,agriculture
6712,ilegal_mining
6714,agriculture
6733,agriculture
6747,agriculture
6753,agriculture
6755,agriculture
6788,ilegal_mining
6795,agriculture
6806,ilegal_mining
6813,agriculture
6843,agriculture
6844,agriculture
