ESTADO,agriculture,aquaculture,ilegal_mining,mining,natural_cause,others,renewable_energy_project,roads,urban_expansion,TOTAL
PARÁ,107345,6,6759,327,22,436,0,20,107,115022
ACRE,55619,0,68,2,8,1574,0,7,35,57313
AMAZONAS,44350,6,359,26,11,1143,0,6,78,45979
RONDÔNIA,24364,0,44,7,3,135,0,3,28,24584
MATO GROSSO,17920,0,405,39,3,157,0,25,61,18610
RORAIMA,11501,0,298,6,3,75,0,3,10,11896
MARANHÃO,4908,0,3,11,0,12,0,1,19,4954
AMAPÁ,1513,0,56,0,1,657,1,1,1,2230
TOCANTINS,428,0,0,0,0,5,0,0,1,434
TOTAL,267948,12,7992,418,51,4194,1,66,340,281022
