state,model,f1,auc,auc_pr
PARÁ,RF,0.8773,0.9415,0.9416
PARÁ,XGB,0.8737,0.9409,0.9399
PARÁ,LR,0.8719,0.9328,0.9348
PARÁ,MLP,0.8506,0.9145,0.9128
PARÁ,SASE,0.8808,0.9425,0.9419
MATO GROSSO,RF,0.7765,0.9526,0.8172
MATO GROSSO,XGB,0.7309,0.9438,0.7896
MATO GROSSO,LR,0.7222,0.9499,0.7482
MATO GROSSO,MLP,0.642,0.8842,0.6875
MATO GROSSO,SASE,0.7415,0.9563,0.8154
AMAZONAS,RF,0.5018,0.843,0.5425
AMAZONAS,XGB,0.5055,0.8256,0.5356
AMAZONAS,LR,0.509,0.8602,0.5016
AMAZONAS,MLP,0.4835,0.7931,0.4871
AMAZONAS,SASE,0.5201,0.8661,0.5685
RORAIMA,RF,0.4386,0.8893,0.4981
RORAIMA,XGB,0.4471,0.8936,0.4886
RORAIMA,LR,0.4733,0.8982,0.4473
RORAIMA,MLP,0.3297,0.8592,0.4212
RORAIMA,SASE,0.4779,0.9039,0.5061
